Title,Director,Star Cast,Year,IMDb Rating,MetaScore,Certificates,Genre,Second_Genre,Third_Genre,Poster-src,Duration (minutes)
The Biggest Little Farm,John Chester,John Chester,2018,8.0,73.0,PG,Documentary,Family,Family,"https://m.media-amazon.com/images/M/MV5BMjQ1MjM0OTE2Ml5BMl5BanBnXkFtZTgwMzgwMDY4NzM@._V1_QL75_UX190_CR0,6,190,281_.jpg",91.0
Pokémon the Movie 2000,Kunihiko Yuyama,Veronica Taylor,1999,6.1,28.0,G,Animation,Action,Adventure,"https://m.media-amazon.com/images/M/MV5BNzE1NjBiODAtNDVhNS00ZTI1LTg4ZjUtZTk3OWVhODljMjNjXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_QL75_UX190_CR0,0,190,281_.jpg",99.0
When Hitler Stole Pink Rabbit,Caroline Link,Riva Krymalowski,2019,7.0,54.0,PG,Biography,Drama,Family,"https://m.media-amazon.com/images/M/MV5BMmNiOWM5NTItNTJiYi00MTAzLThjYzUtOGVmNGJhNjVlYTFjXkEyXkFqcGdeQXVyOTM5NzYzNTU@._V1_QL75_UY281_CR0,0,190,281_.jpg",100.0
Return from Witch Mountain,John Hough,Bette Davis,1978,5.7,51.0,G,Adventure,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BY2ZkMzUzYTQtYzZhZS00ZWZkLWI2MWItNGY3OWNhYjNhOTdlXkEyXkFqcGdeQXVyMTEwODg2MDY@._V1_QL75_UX190_CR0,4,190,281_.jpg",95.0
Summer Magic,James Neilson,Hayley Mills,1963,6.9,57.1,G,Comedy,Family,Musical,"https://m.media-amazon.com/images/M/MV5BZTgxNWZlMTctNzNmZi00ZDY3LTljMmUtNWY5YTg4NzJkN2EyXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",110.0
Tall Tale,Jeremiah S. Chechik,Patrick Swayze,1995,5.9,57.1,PG,Adventure,Family,Fantasy,"https://m.media-amazon.com/images/M/MV5BNDlkMzVjYzQtYTFiNi00NTg1LWI4OTUtY2VlNTc1OTUyM2QzXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_QL75_UX190_CR0,1,190,281_.jpg",96.0
The Powerpuff Girls Movie,Craig McCracken,Cathy Cavadini,2002,6.5,65.0,PG,Animation,Action,Adventure,"https://m.media-amazon.com/images/M/MV5BNDE2ZWIyZmItYjNlZC00NmQ4LWIyMjQtMDJiM2JmYWMyOWQzXkEyXkFqcGdeQXVyMTM0NTUzNDIy._V1_QL75_UX190_CR0,0,190,281_.jpg",73.0
Camp Hideout,Sean Olson,Corbin Bleu,2023,4.4,57.1,PG,Comedy,Family,Family,"https://m.media-amazon.com/images/M/MV5BODc0ODBjZWYtMTE3Yy00MmI1LWJlMDMtZDhjNWU5Y2YzMjUwXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UY281_CR2,0,190,281_.jpg",100.0
St Trinian's 2: The Legend of Fritton's Gold,Oliver Parker,Rupert Everett,2009,5.3,57.1,Not Rated,Adventure,Comedy,Family,"https://m.media-amazon.com/images/M/MV5BZmFhOTRiODctMjVjOS00ZGIyLWFmM2YtYzhkNDM5NGFkYzcyXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_QL75_UX190_CR0,2,190,281_.jpg",106.0
The Wild Thornberrys,Cathy Malkasian,Tim Curry,2002,5.6,69.0,PG,Animation,Adventure,Comedy,"https://m.media-amazon.com/images/M/MV5BNzgwMDMzYzMtYzg0Ni00NTBlLTk2YmItNDVlNzI5ZDZkODI2XkEyXkFqcGdeQXVyMTI5NzUyMTIz._V1_QL75_UX190_CR0,0,190,281_.jpg",85.0
